カテゴリ,行為
使用する際の一連の行為,本を手に取る
使用する際の一連の行為,表紙を開く
使用する際の一連の行為,ページをめくる
使用する際の一連の行為,しおりを挟む
使用する際の一連の行為,読むための姿勢をとる
使用する際の一連の行為,ライトを点ける
使用する際の一連の行為,眼鏡をかける
使用する際の一連の行為,ページの角を折る
使用する際の一連の行為,読み進める
使用する際の一連の行為,段落を飛ばす
使用する際の一連の行為,辞書を引く
使用する際の一連の行為,読み終わったページを閉じる
使用する際の一連の行為,本棚に戻す
使用する際の一連の行為,別の本を選ぶ
使用する際の一連の行為,付箋を貼る
使用する際の一連の行為,メモを取る
使用する際の一連の行為,アンダーラインを引く
使用する際の一連の行為,再度読み返す
使用する際の一連の行為,挿絵を見る
使用する際の一連の行為,表紙を閉じる
それと他のモノを使って行う行為,読書灯で照らす
それと他のモノを使って行う行為,眼鏡をかける
それと他のモノを使って行う行為,コーヒーを飲む
それと他のモノを使って行う行為,音楽を聴く
それと他のモノを使って行う行為,ブランケットをかける
それと他のモノを使って行う行為,椅子に座る
それと他のモノを使って行う行為,ソファでくつろぐ
それと他のモノを使って行う行為,メモ帳にメモを取る
それと他のモノを使って行う行為,ペンを使って線を引く
それと他のモノを使って行う行為,スマホで調べ物をする
それと他のモノを使って行う行為,タブレットで関連情報を読む
それと他のモノを使って行う行為,時計を確認する
それと他のモノを使って行う行為,スナックを食べる
それと他のモノを使って行う行為,本立てに立てかける
それと他のモノを使って行う行為,ブックカバーをかける
それと他のモノを使って行う行為,本棚に収納する
それと他のモノを使って行う行為,しおりを挟む
それと他のモノを使って行う行為,枕を使って寝転がる
それと他のモノを使って行う行為,ブックライトを使う
それと他のモノを使って行う行為,カーテンを閉める
それを使用する目的以外で遊びとして行う行為,本を積み上げてタワーを作る
それを使用する目的以外で遊びとして行う行為,本でドミノをする
それを使用する目的以外で遊びとして行う行為,本のページで折り紙をする
それを使用する目的以外で遊びとして行う行為,本の中にメッセージを隠す
それを使用する目的以外で遊びとして行う行為,本を開いて隠れる
それを使用する目的以外で遊びとして行う行為,本を使って積み木をする
それを使用する目的以外で遊びとして行う行為,本のページに絵を描く
それを使用する目的以外で遊びとして行う行為,本を使って仮面を作る
それを使用する目的以外で遊びとして行う行為,本を並べて道を作る
それを使用する目的以外で遊びとして行う行為,本を使って家を作る
それを使用する目的以外で遊びとして行う行為,本を飛ばしてキャッチする
それを使用する目的以外で遊びとして行う行為,本でバランスゲームをする
それを使用する目的以外で遊びとして行う行為,本の中に小物を隠す
それを使用する目的以外で遊びとして行う行為,本を投げて距離を競う
それを使用する目的以外で遊びとして行う行為,本を積み上げて競う
それを使用する目的以外で遊びとして行う行為,本でトンネルを作る
それを使用する目的以外で遊びとして行う行為,本の中に手紙を隠す
それを使用する目的以外で遊びとして行う行為,本を重ねて高さを競う
それを使用する目的以外で遊びとして行う行為,本のページを使って迷路を作る
それを使用する目的以外で遊びとして行う行為,本で風を送る
それを使用する際，無意識でついやってしまう行為,ページをめくる
それを使用する際，無意識でついやってしまう行為,指をなめる
それを使用する際，無意識でついやってしまう行為,本を持ち上げる
それを使用する際，無意識でついやってしまう行為,本を傾ける
それを使用する際，無意識でついやってしまう行為,ページの角を折る
それを使用する際，無意識でついやってしまう行為,本を閉じる
それを使用する際，無意識でついやってしまう行為,読む速度を変える
それを使用する際，無意識でついやってしまう行為,目をこする
それを使用する際，無意識でついやってしまう行為,読んでいる場所を見失う
それを使用する際，無意識でついやってしまう行為,しおりを挟む
それを使用する際，無意識でついやってしまう行為,本を机に置く
それを使用する際，無意識でついやってしまう行為,本を膝の上に置く
それを使用する際，無意識でついやってしまう行為,本を開いたまま置く
それを使用する際，無意識でついやってしまう行為,ページを撫でる
それを使用する際，無意識でついやってしまう行為,本を上下逆にする
それを使用する際，無意識でついやってしまう行為,本を片手で持つ
それを使用する際，無意識でついやってしまう行為,頭をかく
それを使用する際，無意識でついやってしまう行為,本の匂いを嗅ぐ
それを使用する際，無意識でついやってしまう行為,本を指で叩く
それを使用する際，無意識でついやってしまう行為,本を手元に引き寄せる
それを使用する際にミスや事故で起きる行為,本を落とす
それを使用する際にミスや事故で起きる行為,ページを破る
それを使用する際にミスや事故で起きる行為,しおりをなくす
それを使用する際にミスや事故で起きる行為,本を濡らす
それを使用する際にミスや事故で起きる行為,本を汚す
それを使用する際にミスや事故で起きる行為,ページを折る
それを使用する際にミスや事故で起きる行為,ページが引っかかる
それを使用する際にミスや事故で起きる行為,本を破る
それを使用する際にミスや事故で起きる行為,誤って本を閉じる
それを使用する際にミスや事故で起きる行為,ページを抜かす
それを使用する際にミスや事故で起きる行為,本が開かない
それを使用する際にミスや事故で起きる行為,指を切る
それを使用する際にミスや事故で起きる行為,本を忘れる
それを使用する際にミスや事故で起きる行為,誤って線を引く
それを使用する際にミスや事故で起きる行為,付箋をなくす
それを使用する際にミスや事故で起きる行為,本を踏む
それを使用する際にミスや事故で起きる行為,本を逆さまに読む
それを使用する際にミスや事故で起きる行為,本を紛失する
それを使用する際にミスや事故で起きる行為,本のカバーを破る
それを使用する際にミスや事故で起きる行為,本が見つからない
それを用いて人との関係の中で起こりうる行為,本を貸す
それを用いて人との関係の中で起こりうる行為,本を借りる
それを用いて人との関係の中で起こりうる行為,本を共有する
それを用いて人との関係の中で起こりうる行為,本について話す
それを用いて人との関係の中で起こりうる行為,本を推薦する
それを用いて人との関係の中で起こりうる行為,本を贈る
それを用いて人との関係の中で起こりうる行為,本を返す
それを用いて人との関係の中で起こりうる行為,一緒に読む
それを用いて人との関係の中で起こりうる行為,読書会をする
それを用いて人との関係の中で起こりうる行為,感想を交換する
それを用いて人との関係の中で起こりうる行為,本を見せる
それを用いて人との関係の中で起こりうる行為,本を取り合う
それを用いて人との関係の中で起こりうる行為,本について議論する
それを用いて人との関係の中で起こりうる行為,本を読む時間を作る
それを用いて人との関係の中で起こりうる行為,本をプレゼントする
それを用いて人との関係の中で起こりうる行為,本を交換する
