モノ,単語,原形,品詞,依存関係,親
本,本,本,NOUN,obj,取る
本,を,を,ADP,case,本
本,手,手,NOUN,obl,取る
本,に,に,ADP,case,手
本,取る,取る,VERB,ROOT,取る
本,表紙,表紙,NOUN,obj,開く
本,を,を,ADP,case,表紙
本,開く,開く,VERB,ROOT,開く
本,ページ,ページ,NOUN,obj,めくる
本,を,を,ADP,case,ページ
本,めくる,めくる,ADJ,ROOT,めくる
本,しおり,しおり,NOUN,obj,挟む
本,を,を,ADP,case,しおり
本,挟む,挟む,VERB,ROOT,挟む
本,読む,読む,VERB,compound,ため
本,ため,ため,NOUN,nmod,姿勢
本,の,の,ADP,fixed,ため
本,姿勢,姿勢,NOUN,obj,とる
本,を,を,ADP,case,姿勢
本,とる,とる,VERB,ROOT,とる
本,ライト,ライト,NOUN,obj,点ける
本,を,を,ADP,case,ライト
本,点ける,点ける,VERB,ROOT,点ける
本,眼鏡,眼鏡,NOUN,obj,かける
本,を,を,ADP,case,眼鏡
本,かける,かける,VERB,ROOT,かける
本,ページ,ページ,NOUN,nmod,角
本,の,の,ADP,case,ページ
本,角,角,NOUN,obj,折る
本,を,を,ADP,case,角
本,折る,折る,VERB,ROOT,折る
本,読み進める,読み進める,VERB,ROOT,読み進める
本,段落,段落,NOUN,obj,飛ばす
本,を,を,ADP,case,段落
本,飛ばす,飛ばす,VERB,ROOT,飛ばす
本,辞書,辞書,NOUN,obj,引く
本,を,を,ADP,case,辞書
本,引く,引く,VERB,ROOT,引く
本,読み,読む,VERB,acl,ページ
本,終わっ,終わる,VERB,advcl,読み
本,た,た,AUX,aux,読み
本,ページ,ページ,NOUN,obj,閉じる
本,を,を,ADP,case,ページ
本,閉じる,閉じる,VERB,ROOT,閉じる
本,本棚,本棚,NOUN,obl,戻す
本,に,に,ADP,case,本棚
本,戻す,戻す,VERB,ROOT,戻す
本,別,別,ADJ,nmod,本
本,の,の,ADP,case,別
本,本,本,NOUN,obj,選ぶ
本,を,を,ADP,case,本
本,選ぶ,選ぶ,VERB,ROOT,選ぶ
本,付箋,付箋,NOUN,obj,貼る
本,を,を,ADP,case,付箋
本,貼る,貼る,VERB,ROOT,貼る
本,メモ,メモ,NOUN,obj,取る
本,を,を,ADP,case,メモ
本,取る,取る,VERB,ROOT,取る
本,アンダーライン,アンダーライン,NOUN,obj,引く
本,を,を,ADP,case,アンダーライン
本,引く,引く,VERB,ROOT,引く
本,再度,再度,ADV,advmod,読み返す
本,読み返す,読み返す,VERB,ROOT,読み返す
本,挿絵,挿絵,NOUN,obj,見る
本,を,を,ADP,case,挿絵
本,見る,見る,VERB,ROOT,見る
本,表紙,表紙,NOUN,obj,閉じる
本,を,を,ADP,case,表紙
本,閉じる,閉じる,VERB,ROOT,閉じる
本,読書,読書,NOUN,compound,灯
本,灯,灯,NOUN,obl,照らす
本,で,で,ADP,case,灯
本,照らす,照らす,VERB,ROOT,照らす
本,眼鏡,眼鏡,NOUN,obj,かける
本,を,を,ADP,case,眼鏡
本,かける,かける,VERB,ROOT,かける
本,コーヒー,コーヒー,NOUN,obj,飲む
本,を,を,ADP,case,コーヒー
本,飲む,飲む,VERB,ROOT,飲む
本,音楽,音楽,NOUN,obj,聴く
本,を,を,ADP,case,音楽
本,聴く,聴く,VERB,ROOT,聴く
本,ブランケット,ブランケット,NOUN,obj,かける
本,を,を,ADP,case,ブランケット
本,かける,かける,VERB,ROOT,かける
本,椅子,椅子,NOUN,obl,座る
本,に,に,ADP,case,椅子
本,座る,座る,VERB,ROOT,座る
本,ソファ,ソファ,NOUN,obl,くつろぐ
本,で,で,ADP,case,ソファ
本,くつろぐ,くつろぐ,VERB,ROOT,くつろぐ
本,メモ帳,メモ帳,NOUN,obl,取る
本,に,に,ADP,case,メモ帳
本,メモ,メモ,NOUN,obj,取る
本,を,を,ADP,case,メモ
本,取る,取る,VERB,ROOT,取る
本,ペン,ペン,NOUN,obj,使っ
本,を,を,ADP,case,ペン
本,使っ,使う,VERB,advcl,引く
本,て,て,SCONJ,mark,使っ
本,線,線,NOUN,obj,引く
本,を,を,ADP,case,線
本,引く,引く,VERB,ROOT,引く
本,スマホ,スマホ,NOUN,obl,する
本,で,で,ADP,case,スマホ
本,調べ物,調べ物,NOUN,obj,する
本,を,を,ADP,case,調べ物
本,する,する,VERB,ROOT,する
本,タブレット,タブレット,NOUN,obl,読む
本,で,で,ADP,case,タブレット
本,関連,関連,NOUN,compound,情報
本,情報,情報,NOUN,obj,読む
本,を,を,ADP,case,情報
本,読む,読む,VERB,ROOT,読む
本,時計,時計,NOUN,obj,確認
本,を,を,ADP,case,時計
本,確認,確認,VERB,ROOT,確認
本,する,する,AUX,aux,確認
本,スナック,スナック,NOUN,obj,食べる
本,を,を,ADP,case,スナック
本,食べる,食べる,VERB,ROOT,食べる
本,本立て,本立て,NOUN,obl,立てかける
本,に,に,ADP,case,本立て
本,立てかける,立てかける,ADV,ROOT,立てかける
本,ブックカバー,ブックカバー,NOUN,obj,かける
本,を,を,ADP,case,ブックカバー
本,かける,かける,VERB,ROOT,かける
本,本棚,本棚,NOUN,obl,収納
本,に,に,ADP,case,本棚
本,収納,収納,VERB,ROOT,収納
本,する,する,AUX,aux,収納
本,しおり,しおり,NOUN,obj,挟む
本,を,を,ADP,case,しおり
本,挟む,挟む,VERB,ROOT,挟む
本,枕,枕,NOUN,obj,使っ
本,を,を,ADP,case,枕
本,使っ,使う,VERB,acl,寝転がる
