カテゴリ,行為
使用する際の一連の行為,地図を広げる
使用する際の一連の行為,現在地を確認する
使用する際の一連の行為,目的地を探す
使用する際の一連の行為,ルートを確認する
使用する際の一連の行為,ペンでルートを描く
使用する際の一連の行為,折り目をつける
使用する際の一連の行為,地図を折りたたむ
使用する際の一連の行為,ポケットに入れる
使用する際の一連の行為,メモを取る
使用する際の一連の行為,場所の名前を確認する
使用する際の一連の行為,地図の凡例を見る
使用する際の一連の行為,方角を確認する
使用する際の一連の行為,周囲の地形を見る
使用する際の一連の行為,交通手段を考える
使用する際の一連の行為,地図を回転させる
使用する際の一連の行為,ルートを覚える
使用する際の一連の行為,標高を確認する
使用する際の一連の行為,距離を測る
使用する際の一連の行為,地図を見直す
使用する際の一連の行為,地図を保存する
それと他のモノを使って行う行為,コンパスを使う
それと他のモノを使って行う行為,ペンでメモを取る
それと他のモノを使って行う行為,ノートに転記する
それと他のモノを使って行う行為,スマホで現在地を確認する
それと他のモノを使って行う行為,カメラで写真を撮る
それと他のモノを使って行う行為,ルーペで細部を見る
それと他のモノを使って行う行為,GPSデバイスと併用する
それと他のモノを使って行う行為,ライトを使って照らす
それと他のモノを使って行う行為,双眼鏡で遠くを見る
それと他のモノを使って行う行為,メガネをかける
それと他のモノを使って行う行為,傘を使う
それと他のモノを使って行う行為,飲み物を飲む
それと他のモノを使って行う行為,リュックにしまう
それと他のモノを使って行う行為,手袋をはめる
それと他のモノを使って行う行為,マーカーで印をつける
それと他のモノを使って行う行為,ノートPCで調べ物をする
それと他のモノを使って行う行為,座って確認する
それと他のモノを使って行う行為,テーブルに広げる
それと他のモノを使って行う行為,他の地図と比較する
それと他のモノを使って行う行為,タブレットで情報を調べる
それを使用する目的以外で遊びとして行う行為,紙飛行機を作る
それを使用する目的以外で遊びとして行う行為,折り紙をする
それを使用する目的以外で遊びとして行う行為,地図でドミノをする
それを使用する目的以外で遊びとして行う行為,地図を使って宝探しゲームをする
それを使用する目的以外で遊びとして行う行為,地図を塗り絵にする
それを使用する目的以外で遊びとして行う行為,地図をパズルにする
それを使用する目的以外で遊びとして行う行為,地図を使ってかくれんぼをする
それを使用する目的以外で遊びとして行う行為,地図をマントにする
それを使用する目的以外で遊びとして行う行為,地図を切り抜いてコラージュを作る
それを使用する目的以外で遊びとして行う行為,地図を使って帽子を作る
それを使用する目的以外で遊びとして行う行為,地図で船を作る
それを使用する目的以外で遊びとして行う行為,地図で風車を作る
それを使用する目的以外で遊びとして行う行為,地図で仮面を作る
それを使用する目的以外で遊びとして行う行為,地図でオリガミの動物を作る
それを使用する目的以外で遊びとして行う行為,地図を丸めて棒にする
それを使用する目的以外で遊びとして行う行為,地図を使って紙相撲をする
それを使用する目的以外で遊びとして行う行為,地図を使って迷路を作る
それを使用する目的以外で遊びとして行う行為,地図で壁飾りを作る
それを使用する目的以外で遊びとして行う行為,地図を使って道を作る
それを使用する目的以外で遊びとして行う行為,地図を貼り合わせて大きな地図を作る
それを使用する際，無意識でついやってしまう行為,地図を折りたたむ
それを使用する際，無意識でついやってしまう行為,地図を広げる
それを使用する際，無意識でついやってしまう行為,地図を回転させる
それを使用する際，無意識でついやってしまう行為,現在地を探す
それを使用する際，無意識でついやってしまう行為,目的地を探す
それを使用する際，無意識でついやってしまう行為,地図を持ち上げる
それを使用する際，無意識でついやってしまう行為,地図を見失う
それを使用する際，無意識でついやってしまう行為,地図を落とす
それを使用する際，無意識でついやってしまう行為,ページをめくるように扱う
それを使用する際，無意識でついやってしまう行為,指で地図を指す
それを使用する際，無意識でついやってしまう行為,地図を撫でる
それを使用する際，無意識でついやってしまう行為,地図を手元に引き寄せる
それを使用する際，無意識でついやってしまう行為,地図をたたむ
それを使用する際，無意識でついやってしまう行為,地図を振る
それを使用する際，無意識でついやってしまう行為,地図の端を折る
それを使用する際，無意識でついやってしまう行為,地図を握りしめる
それを使用する際，無意識でついやってしまう行為,地図の匂いを嗅ぐ
それを使用する際，無意識でついやってしまう行為,地図を丸める
それを使用する際，無意識でついやってしまう行為,地図を置き忘れる
それを使用する際，無意識でついやってしまう行為,地図を見つける
それを使用する際にミスや事故で起きる行為,地図を破る
それを使用する際にミスや事故で起きる行為,地図を濡らす
それを使用する際にミスや事故で起きる行為,地図を汚す
それを使用する際にミスや事故で起きる行為,地図を風で飛ばされる
それを使用する際にミスや事故で起きる行為,地図を見失う
それを使用する際にミスや事故で起きる行為,地図を折り間違える
それを使用する際にミスや事故で起きる行為,地図をなくす
それを使用する際にミスや事故で起きる行為,地図を踏む
それを使用する際にミスや事故で起きる行為,地図を間違って描く
それを使用する際にミスや事故で起きる行為,地図を誤って破る
それを使用する際にミスや事故で起きる行為,地図を落とす
それを使用する際にミスや事故で起きる行為,地図が反対になる
それを使用する際にミスや事故で起きる行為,地図を引っ掛ける
それを使用する際にミスや事故で起きる行為,地図を破損する
それを使用する際にミスや事故で起きる行為,地図が飛び散る
それを使用する際にミスや事故で起きる行為,地図を忘れる
それを使用する際にミスや事故で起きる行為,地図を他人に取られる
それを使用する際にミスや事故で起きる行為,地図を置き忘れる
それを使用する際にミスや事故で起きる行為,地図が見つからない
それを使用する際にミスや事故で起きる行為,地図を紛失する
それを用いて人との関係の中で起こりうる行為,地図を共有する
それを用いて人との関係の中で起こりうる行為,地図について話す
それを用いて人との関係の中で起こりうる行為,地図を贈る
それを用いて人との関係の中で起こりうる行為,地図を返す
それを用いて人との関係の中で起こりうる行為,地図を一緒に読む
それを用いて人との関係の中で起こりうる行為,地図を使って議論する
それを用いて人との関係の中で起こりうる行為,地図を貸す
それを用いて人との関係の中で起こりうる行為,地図を借りる
それを用いて人との関係の中で起こりうる行為,地図を見せる
それを用いて人との関係の中で起こりうる行為,地図を取り合う
それを用いて人との関係の中で起こりうる行為,地図を探し合う
それを用いて人との関係の中で起こりうる行為,地図を手渡す
それを用いて人との関係の中で起こりうる行為,地図を交換する
それを用いて人との関係の中で起こりうる行為,地図の場所を教える
それを用いて人との関係の中で起こりうる行為,地図について感想を述べる
それを用いて人との関係の中で起こりうる行為,地図を使って読書会をする
それを用いて人との関係の中で起こりうる行為,地図を紹介する
それを用いて人との関係の中で起こりうる行為,地図を一緒に作る
それを用いて人との関係の中で起こりうる行為,地図を分け合う
それを用いて人との関係の中で起こりうる行為,地図を使って方向を指示する
