モノ,カテゴリ,行為
ストーブ,使用する際の一連の行為,ストーブの電源を入れる
ストーブ,使用する際の一連の行為,ストーブの燃料を確認する
ストーブ,使用する際の一連の行為,ストーブを点火する
ストーブ,使用する際の一連の行為,ストーブの温度を設定する
ストーブ,使用する際の一連の行為,ストーブのファンを調整する
ストーブ,使用する際の一連の行為,ストーブの温度を確認する
ストーブ,使用する際の一連の行為,ストーブの燃料を補充する
ストーブ,使用する際の一連の行為,ストーブを消火する
ストーブ,使用する際の一連の行為,ストーブの掃除をする
ストーブ,使用する際の一連の行為,ストーブのフィルターを掃除する
ストーブ,使用する際の一連の行為,ストーブの位置を調整する
ストーブ,使用する際の一連の行為,ストーブの安全装置を確認する
ストーブ,使用する際の一連の行為,ストーブの電源を切る
ストーブ,使用する際の一連の行為,ストーブを移動する
ストーブ,使用する際の一連の行為,ストーブの換気を確認する
ストーブ,使用する際の一連の行為,ストーブの異音を確認する
ストーブ,使用する際の一連の行為,ストーブの煙突を掃除する
ストーブ,使用する際の一連の行為,ストーブの設定を変更する
ストーブ,使用する際の一連の行為,ストーブのメンテナンスをする
ストーブ,使用する際の一連の行為,ストーブの取扱説明書を読む
ストーブ,それと他のモノを使って行う行為,燃料タンクを使う
ストーブ,それと他のモノを使って行う行為,温度計を使う
ストーブ,それと他のモノを使って行う行為,ファンを使う
ストーブ,それと他のモノを使って行う行為,加湿器を使う
ストーブ,それと他のモノを使って行う行為,換気扇を使う
ストーブ,それと他のモノを使って行う行為,フィルターを使う
ストーブ,それと他のモノを使って行う行為,煙突掃除用具を使う
ストーブ,それと他のモノを使って行う行為,安全装置を使う
ストーブ,それと他のモノを使って行う行為,火力調整ツールを使う
ストーブ,それと他のモノを使って行う行為,燃料ポンプを使う
ストーブ,それと他のモノを使って行う行為,ストーブガードを使う
ストーブ,それと他のモノを使って行う行為,エアコンを併用する
ストーブ,それと他のモノを使って行う行為,窓を開ける
ストーブ,それと他のモノを使って行う行為,ドアを閉める
ストーブ,それと他のモノを使って行う行為,サーキュレーターを使う
ストーブ,それと他のモノを使って行う行為,カーペットを敷く
ストーブ,それと他のモノを使って行う行為,温度センサーを使う
ストーブ,それと他のモノを使って行う行為,スマートフォンアプリを使う
ストーブ,それと他のモノを使って行う行為,センサーライトを使う
ストーブ,それと他のモノを使って行う行為,空気清浄機を使う
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでマシュマロを焼く
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでパンを焼く
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでポップコーンを作る
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブで手を温める
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでドライフルーツを作る
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブで焼き芋を作る
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでコーヒーを温める
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブで紅茶を温める
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでチーズを溶かす
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでスープを温める
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでミルクを温める
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブでハーブティーを作る
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブで燻製を作る
ストーブ,それを使用する目的以外で遊びとして行う行為,ストーブで乾燥フルーツを作る
