モノ,カテゴリ,行為
ストーブ,使用する際の一連の行為,ストーブの電源を入れる
ストーブ,それと他のモノを使って行う行為,ストーブガードを使う
自動床掃除機,使用する際の一連の行為,自動床掃除機の電源を入れる
自動床掃除機,それと他のモノを使って行う行為,スマートフォンを使う
暖房,使用する際の一連の行為,暖房の電源を入れる
暖房,それと他のモノを使って行う行為,リモコンを使う
傘,使用する際の一連の行為,傘を開く
傘,使用する際の一連の行為,傘を閉じる
傘,使用する際の一連の行為,傘を持つ
傘,使用する際の一連の行為,傘をさす
傘,使用する際の一連の行為,傘をたたむ
傘,使用する際の一連の行為,傘を乾かす
傘,使用する際の一連の行為,傘の位置を調整する
傘,使用する際の一連の行為,傘をかばんに入れる
傘,使用する際の一連の行為,傘を忘れないようにする
傘,使用する際の一連の行為,傘を持ち歩く
傘,使用する際の一連の行為,傘を貸す
傘,使用する際の一連の行為,傘を借りる
傘,使用する際の一連の行為,傘を収納する
傘,使用する際の一連の行為,傘の汚れを拭く
傘,使用する際の一連の行為,傘の状態を確認する
傘,使用する際の一連の行為,傘の修理をする
傘,使用する際の一連の行為,傘を傘立てに入れる
傘,使用する際の一連の行為,傘を玄関に置く
傘,使用する際の一連の行為,傘を干す
傘,使用する際の一連の行為,傘の骨組みを調整する
傘,それと他のモノを使って行う行為,レインコートを使う
傘,それと他のモノを使って行う行為,長靴を履く
傘,それと他のモノを使って行う行為,かばんに傘を入れる
傘,それと他のモノを使って行う行為,傘カバーを使う
傘,それと他のモノを使って行う行為,ドアを開ける時に傘を使う
傘,それと他のモノを使って行う行為,手袋を使う
傘,それと他のモノを使って行う行為,防水スプレーを使う
傘,それと他のモノを使って行う行為,傘ホルダーを使う
傘,それと他のモノを使って行う行為,スマートフォンを傘の下で使う
傘,それと他のモノを使って行う行為,本を傘の下で読む
傘,それと他のモノを使って行う行為,傘立てを使う
傘,それと他のモノを使って行う行為,防水バッグを使う
傘,それと他のモノを使って行う行為,防水シートを使う
傘,それと他のモノを使って行う行為,カメラを傘の下で使う
傘,それと他のモノを使って行う行為,傘にライトを付ける
傘,それと他のモノを使って行う行為,傘にアクセサリーを付ける
傘,それと他のモノを使って行う行為,帽子をかぶる
傘,それと他のモノを使って行う行為,サングラスを使う
傘,それと他のモノを使って行う行為,雨具セットを使う
傘,それと他のモノを使って行う行為,折り畳み傘を持つ
傘,それを使用する目的以外で遊びとして行う行為,傘でスタンプを作る
傘,それを使用する目的以外で遊びとして行う行為,傘で影絵をする
傘,それを使用する目的以外で遊びとして行う行為,傘で剣を作る
傘,それを使用する目的以外で遊びとして行う行為,傘でタワーを作る
傘,それを使用する目的以外で遊びとして行う行為,傘でおもちゃを作る
傘,それを使用する目的以外で遊びとして行う行為,傘でバランスを取る
傘,それを使用する目的以外で遊びとして行う行為,傘で風を感じる
傘,それを使用する目的以外で遊びとして行う行為,傘でマントを作る
傘,それを使用する目的以外で遊びとして行う行為,傘でアートを作る
傘,それを使用する目的以外で遊びとして行う行為,傘で音を出す
傘,それを使用する目的以外で遊びとして行う行為,傘で写真を撮る
傘,それを使用する目的以外で遊びとして行う行為,傘で紙芝居を作る
傘,それを使用する目的以外で遊びとして行う行為,傘でドミノをする
傘,それを使用する目的以外で遊びとして行う行為,傘で曲芸をする
傘,それを使用する目的以外で遊びとして行う行為,傘で踊る
傘,それを使用する目的以外で遊びとして行う行為,傘でおしゃれを楽しむ
傘,それを使用する目的以外で遊びとして行う行為,傘でファッションショーをする
傘,それを使用する目的以外で遊びとして行う行為,傘でパフォーマンスをする
傘,それを使用する目的以外で遊びとして行う行為,傘でストーリーを作る
傘,それを使用する目的以外で遊びとして行う行為,傘でクイズをする
傘,それを使用する際，無意識でついやってしまう行為,傘を開く
傘,それを使用する際，無意識でついやってしまう行為,傘を閉じる
傘,それを使用する際，無意識でついやってしまう行為,傘を持つ
傘,それを使用する際，無意識でついやってしまう行為,傘をさす
傘,それを使用する際，無意識でついやってしまう行為,傘をたたむ
傘,それを使用する際，無意識でついやってしまう行為,傘を乾かす
傘,それを使用する際，無意識でついやってしまう行為,傘の位置を調整する
傘,それを使用する際，無意識でついやってしまう行為,傘をかばんに入れる
傘,それを使用する際，無意識でついやってしまう行為,傘を忘れないようにする
傘,それを使用する際，無意識でついやってしまう行為,傘を持ち歩く
傘,それを使用する際，無意識でついやってしまう行為,傘を貸す
傘,それを使用する際，無意識でついやってしまう行為,傘を借りる
傘,それを使用する際，無意識でついやってしまう行為,傘を収納する
傘,それを使用する際，無意識でついやってしまう行為,傘の汚れを拭く
傘,それを使用する際，無意識でついやってしまう行為,傘の状態を確認する
傘,それを使用する際，無意識でついやってしまう行為,傘の修理をする
傘,それを使用する際，無意識でついやってしまう行為,傘を傘立てに入れる
傘,それを使用する際，無意識でついやってしまう行為,傘を玄関に置く
傘,それを使用する際，無意識でついやってしまう行為,傘を干す
傘,それを使用する際，無意識でついやってしまう行為,傘の骨組みを調整する
傘,それを使用する際にミスや事故で起きる行為,傘が壊れる
傘,それを使用する際にミスや事故で起きる行為,傘が風で飛ばされる
傘,それを使用する際にミスや事故で起きる行為,傘が逆さまになる
傘,それを使用する際にミスや事故で起きる行為,傘が人に当たる
傘,それを使用する際にミスや事故で起きる行為,傘が倒れる
傘,それを使用する際にミスや事故で起きる行為,傘の骨が折れる
傘,それを使用する際にミスや事故で起きる行為,傘が破れる
傘,それを使用する際にミスや事故で起きる行為,傘が閉まらない
傘,それを使用する際にミスや事故で起きる行為,傘が開かない
傘,それを使用する際にミスや事故で起きる行為,傘の留め具が壊れる
傘,それを使用する際にミスや事故で起きる行為,傘が濡れる
傘,それを使用する際にミスや事故で起きる行為,傘が錆びる
傘,それを使用する際にミスや事故で起きる行為,傘を忘れる
傘,それを使用する際にミスや事故で起きる行為,傘を無くす
傘,それを使用する際にミスや事故で起きる行為,傘が他人のものと混ざる
傘,それを使用する際にミスや事故で起きる行為,傘が滑る
傘,それを使用する際にミスや事故で起きる行為,傘が汚れる
傘,それを使用する際にミスや事故で起きる行為,傘が床に落ちる
傘,それを使用する際にミスや事故で起きる行為,傘がドアに挟まる
傘,それを使用する際にミスや事故で起きる行為,傘が破れて雨漏りする
傘,それを用いて人との関係の中で起こりうる行為,傘を一緒に使う
傘,それを用いて人との関係の中で起こりうる行為,傘を貸し借りする
