モノ,カテゴリ,行為
本,使用する際の一連の行為,本を手に取る
本,使用する際の一連の行為,表紙を開く
本,使用する際の一連の行為,ページをめくる
本,使用する際の一連の行為,しおりを挟む
本,使用する際の一連の行為,読むための姿勢をとる
本,使用する際の一連の行為,ライトを点ける
本,使用する際の一連の行為,眼鏡をかける
本,使用する際の一連の行為,ページの角を折る
本,使用する際の一連の行為,読み進める
本,使用する際の一連の行為,段落を飛ばす
本,使用する際の一連の行為,辞書を引く
本,使用する際の一連の行為,読み終わったページを閉じる
本,使用する際の一連の行為,本棚に戻す
本,使用する際の一連の行為,別の本を選ぶ
本,使用する際の一連の行為,付箋を貼る
本,使用する際の一連の行為,メモを取る
本,使用する際の一連の行為,アンダーラインを引く
本,使用する際の一連の行為,再度読み返す
本,使用する際の一連の行為,挿絵を見る
本,使用する際の一連の行為,表紙を閉じる
本,それと他のモノを使って行う行為,読書灯で照らす
本,それと他のモノを使って行う行為,眼鏡をかける
本,それと他のモノを使って行う行為,コーヒーを飲む
本,それと他のモノを使って行う行為,音楽を聴く
本,それと他のモノを使って行う行為,ブランケットをかける
本,それと他のモノを使って行う行為,椅子に座る
本,それと他のモノを使って行う行為,ソファでくつろぐ
本,それと他のモノを使って行う行為,メモ帳にメモを取る
本,それと他のモノを使って行う行為,ペンを使って線を引く
本,それと他のモノを使って行う行為,スマホで調べ物をする
本,それと他のモノを使って行う行為,タブレットで関連情報を読む
本,それと他のモノを使って行う行為,時計を確認する
本,それと他のモノを使って行う行為,スナックを食べる
本,それと他のモノを使って行う行為,本立てに立てかける
本,それと他のモノを使って行う行為,ブックカバーをかける
本,それと他のモノを使って行う行為,本棚に収納する
本,それと他のモノを使って行う行為,しおりを挟む
本,それと他のモノを使って行う行為,枕を使って寝転がる
本,それと他のモノを使って行う行為,ブックライトを使う
本,それと他のモノを使って行う行為,カーテンを閉める
本,それを使用する目的以外で遊びとして行う行為,本を積み上げてタワーを作る
本,それを使用する目的以外で遊びとして行う行為,本でドミノをする
本,それを使用する目的以外で遊びとして行う行為,本のページで折り紙をする
本,それを使用する目的以外で遊びとして行う行為,本の中にメッセージを隠す
本,それを使用する目的以外で遊びとして行う行為,本を開いて隠れる
本,それを使用する目的以外で遊びとして行う行為,本を使って積み木をする
本,それを使用する目的以外で遊びとして行う行為,本のページに絵を描く
本,それを使用する目的以外で遊びとして行う行為,本を使って仮面を作る
本,それを使用する目的以外で遊びとして行う行為,本を並べて道を作る
本,それを使用する目的以外で遊びとして行う行為,本を使って家を作る
本,それを使用する目的以外で遊びとして行う行為,本を飛ばしてキャッチする
本,それを使用する目的以外で遊びとして行う行為,本でバランスゲームをする
本,それを使用する目的以外で遊びとして行う行為,本の中に小物を隠す
本,それを使用する目的以外で遊びとして行う行為,本を投げて距離を競う
本,それを使用する目的以外で遊びとして行う行為,本を積み上げて競う
本,それを使用する目的以外で遊びとして行う行為,本でトンネルを作る
本,それを使用する目的以外で遊びとして行う行為,本の中に手紙を隠す
本,それを使用する目的以外で遊びとして行う行為,本を重ねて高さを競う
本,それを使用する目的以外で遊びとして行う行為,本のページを使って迷路を作る
本,それを使用する目的以外で遊びとして行う行為,本で風を送る
本,それを使用する際，無意識でついやってしまう行為,ページをめくる
本,それを使用する際，無意識でついやってしまう行為,指をなめる
本,それを使用する際，無意識でついやってしまう行為,本を持ち上げる
本,それを使用する際，無意識でついやってしまう行為,本を傾ける
本,それを使用する際，無意識でついやってしまう行為,ページの角を折る
本,それを使用する際，無意識でついやってしまう行為,本を閉じる
本,それを使用する際，無意識でついやってしまう行為,読む速度を変える
本,それを使用する際，無意識でついやってしまう行為,目をこする
本,それを使用する際，無意識でついやってしまう行為,読んでいる場所を見失う
本,それを使用する際，無意識でついやってしまう行為,しおりを挟む
本,それを使用する際，無意識でついやってしまう行為,本を机に置く
本,それを使用する際，無意識でついやってしまう行為,本を膝の上に置く
本,それを使用する際，無意識でついやってしまう行為,本を開いたまま置く
